Prestamo;N° Clientes;ID;Edad (años); Ingreso anual ;Historial crediticio; Monto del prestamo ;Plazo del préstamo (años);N° de créditos previos;Empleo;Tasa de interes del prestamo (%)
1;374;1373;32; $33.339.089 ;1; $36.107.674 ;10;1;1;25
1;375;1374;48; $29.627.733 ;0; $39.252.181 ;2;4;0;27
1;376;1375;56; $34.829.438 ;1; $17.644.384 ;24;2;1;28
1;377;1376;35; $17.917.064 ;1; $25.030.511 ;6;5;1;3
1;378;1377;24; $13.815.566 ;1; $11.175.474 ;18;1;2;18
1;379;1378;30; $19.774.993 ;1; $34.975.263 ;6;5;2;13
1;380;1379;45; $28.951.850 ;0; $26.791.695 ;20;2;1;34
1;381;1380;65; $22.725.706 ;1; $36.205.006 ;9;5;0;28
1;382;1381;54; $16.169.217 ;1; $13.869.897 ;17;4;1;31
1;383;1382;56; $30.628.415 ;0; $31.652.679 ;24;2;2;8
1;384;1383;61; $16.627.980 ;0; $38.607.874 ;6;3;2;7
0;385;1384;20; $30.458.584 ;0; $14.750.604 ;23;5;2;25
1;386;1385;28; $18.958.218 ;1; $24.020.263 ;25;5;2;27
1;387;1386;55; $15.912.850 ;1; $15.461.018 ;12;4;0;30
1;388;1387;46; $17.931.590 ;1; $24.953.169 ;4;5;2;33
1;389;1388;41; $35.587.895 ;0; $28.978.148 ;3;5;1;29
1;390;1389;18; $30.295.482 ;1; $27.401.692 ;14;4;1;31
0;391;1390;61; $14.403.975 ;0; $13.643.580 ;14;3;0;4
1;392;1391;60; $31.260.528 ;1; $37.634.445 ;16;3;0;29
1;393;1392;46; $28.597.112 ;1; $10.759.103 ;24;4;0;34
1;394;1393;24; $28.752.581 ;1; $22.855.894 ;15;4;0;35
1;395;1394;31; $25.264.235 ;0; $12.962.311 ;17;1;1;29
1;396;1395;48; $29.422.379 ;1; $27.934.613 ;6;4;2;33
1;397;1396;35; $15.100.315 ;0; $39.846.689 ;1;5;2;19
1;398;1397;31; $32.516.778 ;0; $37.413.502 ;23;1;1;11
1;399;1398;31; $15.435.384 ;1; $11.229.162 ;18;2;0;8
1;400;1399;41; $33.283.585 ;1; $19.382.903 ;7;3;2;6
1;401;1400;47; $16.427.232 ;1; $28.054.490 ;25;5;0;21
1;402;1401;56; $19.180.778 ;0; $18.133.180 ;1;2;2;25
1;403;1402;58; $13.788.987 ;1; $19.715.665 ;4;1;1;7
0;404;1403;24; $24.729.476 ;0; $27.922.394 ;7;1;0;14
1;405;1404;39; $13.378.950 ;1; $21.555.162 ;13;3;1;22
1;406;1405;39; $27.695.687 ;0; $20.558.861 ;25;3;2;22
0;407;1406;19; $29.425.666 ;0; $24.219.835 ;7;2;0;25
1;408;1407;21; $32.103.272 ;0; $11.878.397 ;5;3;2;21
1;409;1408;54; $19.127.997 ;0; $12.500.432 ;3;1;1;4
1;410;1409;48; $14.688.937 ;1; $20.592.712 ;7;4;2;35
1;411;1410;24; $35.123.135 ;1; $11.460.339 ;14;2;0;19
0;412;1411;35; $14.077.540 ;0; $32.600.921 ;11;3;0;13
1;413;1412;50; $25.971.513 ;0; $39.919.946 ;14;2;1;9
1;414;1413;40; $35.347.872 ;1; $36.473.784 ;24;3;2;15
1;415;1414;58; $18.298.945 ;1; $18.196.163 ;2;1;2;17
0;416;1415;22; $24.401.605 ;0; $16.168.299 ;9;2;0;22
1;417;1416;39; $31.571.229 ;1; $28.922.343 ;11;3;2;9
1;418;1417;32; $32.310.184 ;0; $15.498.799 ;18;5;2;5
1;419;1418;41; $15.327.217 ;1; $15.064.116 ;2;4;2;2
1;420;1419;45; $15.330.710 ;0; $35.363.521 ;23;3;1;18
1;421;1420;53; $27.872.795 ;1; $32.561.644 ;23;4;1;13
0;422;1421;25; $15.898.445 ;0; $28.442.374 ;3;5;2;24
1;423;1422;57; $30.896.629 ;1; $31.250.365 ;21;4;0;32
1;424;1423;62; $23.012.831 ;0; $21.000.830 ;10;3;2;25
1;425;1424;34; $30.098.166 ;0; $23.213.681 ;13;4;0;22
0;426;1425;25; $28.600.862 ;0; $19.324.705 ;12;2;2;2
0;427;1426;19; $20.701.582 ;0; $32.426.280 ;8;2;1;31
1;428;1427;63; $27.716.705 ;0; $22.888.954 ;3;2;1;35
0;429;1428;35; $13.750.093 ;0; $15.965.409 ;2;5;2;26
1;430;1429;53; $26.425.341 ;1; $34.165.046 ;7;3;0;11
1;431;1430;59; $16.732.456 ;0; $27.736.563 ;9;4;1;5
1;432;1431;43; $34.007.804 ;0; $36.450.187 ;2;4;1;32
1;433;1432;60; $23.072.417 ;1; $11.531.028 ;7;3;1;18
1;434;1433;55; $29.816.464 ;1; $17.705.641 ;6;1;2;5
0;435;1434;21; $23.389.448 ;0; $12.603.878 ;4;4;0;7
1;436;1435;42; $35.874.198 ;0; $20.948.481 ;13;3;2;9
1;437;1436;50; $27.373.827 ;0; $19.953.047 ;20;1;1;14
1;438;1437;59; $13.686.018 ;1; $27.985.736 ;12;4;2;21
1;439;1438;33; $18.508.479 ;1; $28.061.421 ;20;4;2;11
1;440;1439;64; $29.004.918 ;1; $37.373.409 ;2;3;2;29
1;441;1440;59; $22.659.346 ;0; $20.164.344 ;7;1;0;18
1;442;1441;52; $13.317.095 ;1; $30.561.582 ;25;3;0;8
1;443;1442;37; $34.167.107 ;0; $12.049.574 ;9;3;2;12
1;444;1443;58; $23.687.612 ;1; $20.893.868 ;8;1;2;12
1;445;1444;65; $18.418.662 ;0; $30.699.787 ;15;5;1;33
0;446;1445;22; $14.072.408 ;0; $37.561.765 ;20;2;0;27
1;447;1446;44; $16.271.796 ;0; $30.057.335 ;13;5;0;28
1;448;1447;49; $16.128.234 ;1; $21.740.789 ;7;5;1;27
1;449;1448;55; $13.557.871 ;1; $16.175.502 ;22;3;1;14
1;450;1449;18; $14.427.713 ;1; $27.495.478 ;3;1;2;33
1;451;1450;28; $19.960.408 ;0; $33.095.257 ;22;4;0;13
1;452;1451;47; $26.242.692 ;1; $37.721.171 ;18;5;0;3
0;453;1452;23; $22.395.884 ;0; $17.055.354 ;10;4;0;31
1;454;1453;46; $13.436.130 ;1; $19.963.812 ;23;5;0;3
1;455;1454;24; $22.079.790 ;1; $14.488.807 ;24;1;2;25
1;456;1455;18; $18.465.432 ;1; $38.711.921 ;8;3;1;7
1;457;1456;32; $26.472.844 ;1; $19.425.694 ;25;1;2;31
1;458;1457;20; $15.119.106 ;1; $10.256.007 ;16;5;1;13
1;459;1458;30; $18.456.563 ;1; $22.619.785 ;9;4;2;7
1;460;1459;64; $23.036.652 ;0; $20.778.716 ;9;1;0;4
1;461;1460;47; $24.547.545 ;0; $37.353.303 ;7;2;1;12
1;462;1461;42; $12.660.380 ;1; $18.418.140 ;18;5;0;27
1;463;1462;50; $14.652.946 ;1; $18.252.689 ;17;4;1;23
1;464;1463;49; $32.622.941 ;0; $25.780.679 ;5;1;2;6
1;465;1464;33; $32.390.439 ;1; $26.341.338 ;12;4;2;17
1;466;1465;48; $15.046.008 ;1; $20.137.956 ;19;2;0;25
0;467;1466;19; $22.671.237 ;0; $17.242.154 ;6;5;1;36
1;468;1467;53; $19.880.805 ;0; $29.373.699 ;12;5;1;17
1;469;1468;46; $19.778.315 ;1; $26.852.798 ;19;1;1;29
1;470;1469;18; $18.554.577 ;1; $23.219.649 ;19;4;2;9
1;471;1470;53; $27.793.341 ;1; $17.564.202 ;25;5;1;4
1;472;1471;45; $22.739.981 ;1; $20.182.378 ;15;5;2;20
1;473;1472;26; $24.408.483 ;1; $36.896.481 ;3;5;0;21
1;474;1473;23; $27.229.880 ;1; $21.099.532 ;8;1;2;15
1;475;1474;40; $16.139.176 ;1; $11.575.345 ;24;4;0;34
1;476;1475;45; $24.699.035 ;1; $20.307.105 ;25;2;2;23
1;477;1476;37; $34.745.413 ;0; $13.043.193 ;12;2;1;20
1;478;1477;39; $12.209.062 ;1; $39.958.665 ;10;1;0;33
1;479;1478;50; $20.560.829 ;1; $16.494.986 ;21;3;0;6
1;480;1479;58; $13.218.700 ;1; $36.815.711 ;4;1;1;5
1;481;1480;59; $25.761.108 ;0; $36.576.804 ;10;3;2;7
1;482;1481;43; $30.824.551 ;1; $23.649.724 ;22;4;1;33
1;483;1482;25; $15.988.940 ;1; $11.611.107 ;4;2;0;11
1;484;1483;30; $18.061.478 ;1; $38.678.814 ;25;2;2;33
1;485;1484;45; $15.528.097 ;0; $38.945.639 ;18;4;2;9
1;486;1485;43; $16.916.920 ;1; $27.799.506 ;17;4;0;2
1;487;1486;35; $20.380.672 ;1; $18.225.628 ;19;1;2;36
0;488;1487;23; $22.792.888 ;0; $12.017.270 ;22;1;1;2
1;489;1488;29; $16.725.019 ;1; $23.959.896 ;18;5;0;34
1;490;1489;27; $15.286.206 ;0; $35.207.970 ;3;4;1;24
1;491;1490;53; $15.510.838 ;0; $25.799.047 ;17;1;1;36
1;492;1491;57; $17.176.571 ;1; $15.617.705 ;2;1;2;21
1;493;1492;34; $15.925.288 ;1; $31.344.325 ;12;2;1;19
1;494;1493;25; $20.515.037 ;1; $24.126.896 ;17;5;2;35
1;495;1494;62; $20.895.199 ;0; $27.710.023 ;8;2;2;2
1;496;1495;44; $32.475.132 ;0; $37.705.022 ;4;3;2;36
0;497;1496;25; $19.834.344 ;0; $33.313.343 ;6;1;0;17
1;498;1497;37; $33.204.148 ;0; $36.217.921 ;13;5;1;5
1;499;1498;28; $12.322.734 ;1; $30.922.041 ;4;1;0;30
1;500;1499;41; $33.537.274 ;0; $39.203.189 ;11;2;1;34
